Hand Direction_X,Hand Direction_Y,Hand Direction_Z,THUMB_X,THUMB_Y,THUMB_Z,INDEX_X,INDEX_Y,INDEX_Z,MIDDLE_X,MIDDLE_Y,MIDDLE_Z,RING_X,RING_Y,RING_Z,PINKY_X,PINKY_Y,PINKY_Z,RESULT
0.027895851,-0.90675837,-0.42072687,0.13327616,-0.9905869,-0.031226566,-0.25840116,0.44649714,0.8566616,-0.25840116,0.44649714,0.8566616,-0.25840116,0.44649714,0.8566616,-0.25840116,0.44649714,0.8566616,0
0.028494712,-0.90717953,-0.4197777,0.13313979,-0.99063325,-0.030323524,-0.26028645,0.43662164,0.8611693,-0.26028645,0.43662164,0.8611693,-0.26028645,0.43662164,0.8611693,-0.26028645,0.43662164,0.8611693,0
0.029597482,-0.9070227,-0.42004025,0.13360201,-0.99056906,-0.030388005,-0.26566362,0.42162624,0.8669799,-0.26566362,0.42162624,0.8669799,-0.26566362,0.42162624,0.8669799,-0.26566362,0.42162624,0.8669799,0
0.030970793,-0.906709,-0.42061806,0.13474216,-0.9904128,-0.030448977,-0.27421865,0.40280548,0.87324214,-0.27421865,0.40280548,0.87324214,-0.27421865,0.40280548,0.87324214,-0.27421865,0.40280548,0.87324214,0
0.032375388,-0.9062117,-0.42158306,0.13672625,-0.9901293,-0.030820575,-0.28403112,0.38235956,0.8792767,-0.28403112,0.38235956,0.8792767,-0.28403112,0.38235956,0.8792767,-0.28403112,0.38235956,0.8792767,0
0.033992633,-0.90560454,-0.42275873,0.13913901,-0.9897772,-0.03132726,-0.29291445,0.3628799,0.88460124,-0.29291445,0.3628799,0.88460124,-0.29291445,0.3628799,0.88460124,-0.29291445,0.3628799,0.88460124,0
0.0357458,-0.9047423,-0.42445683,0.14203344,-0.98934007,-0.03213566,-0.3015245,0.33562618,0.89243376,-0.3015245,0.33562618,0.89243376,-0.3015245,0.33562618,0.89243376,-0.3015245,0.33562618,0.89243376,0
0.03786213,-0.9036253,-0.4266471,0.14478454,-0.98891526,-0.03292508,-0.3125289,0.2382865,0.91953534,-0.3125289,0.2382865,0.91953534,-0.3125289,0.2382865,0.91953534,-0.3125289,0.2382865,0.91953534,0
0.039523225,-0.9025651,-0.42873552,0.14720139,-0.98853827,-0.033524178,-0.321574,0.106431805,0.9408839,-0.321574,0.106431805,0.9408839,-0.321574,0.106431805,0.9408839,-0.321574,0.106431805,0.9408839,0
0.04073898,-0.9016374,-0.4305699,0.14950015,-0.98817307,-0.03411382,-0.32409552,0.028678017,0.9455896,-0.32409552,0.028678017,0.9455896,-0.32409552,0.028678017,0.9455896,-0.32409552,0.028678017,0.9455896,0
