Hand Direction_X,Hand Direction_Y,Hand Direction_Z,THUMB_X,THUMB_Y,THUMB_Z,INDEX_X,INDEX_Y,INDEX_Z,MIDDLE_X,MIDDLE_Y,MIDDLE_Z,RING_X,RING_Y,RING_Z,PINKY_X,PINKY_Y,PINKY_Z,RESULT
-0.17986792,-0.34057316,-0.9228529,-0.8412609,-0.25729614,-0.47547743,-0.17669266,-0.89959073,-0.39939475,0.058582522,0.27305877,0.96021193,-0.09717708,0.338642,0.93588364,-0.2818311,0.34127742,0.8967168,0
-0.17921317,-0.33785042,-0.92398036,-0.84059656,-0.25579375,-0.47745886,-0.17259581,-0.9012578,-0.39742297,0.056822356,0.26487926,0.96260595,-0.09770635,0.33796638,0.93607277,-0.28321967,0.3404069,0.89661014,0
-0.1789395,-0.3361814,-0.9246419,-0.8399306,-0.2547209,-0.47920123,-0.16835813,-0.90268004,-0.39601043,0.057210952,0.25404683,0.9654984,-0.098598294,0.3368653,0.9363761,-0.28443706,0.33898118,0.89676493,0
-0.17774233,-0.33520958,-0.9252255,-0.8391582,-0.25515682,-0.48032126,-0.16431865,-0.902958,-0.3970721,0.053681664,0.24375853,0.96834916,-0.09959442,0.33615264,0.9365268,-0.28653798,0.3382595,0.8963685,0
-0.17687592,-0.3341081,-0.9257898,-0.83817154,-0.2547354,-0.48226377,-0.16088718,-0.90337884,-0.39751986,0.050534926,0.23063512,0.97172713,-0.09993579,0.33495533,0.9369193,-0.28765568,0.33713457,0.8964343,0
-0.17543028,-0.33631894,-0.9252642,-0.83510643,-0.26142317,-0.4839991,-0.15849322,-0.9023043,-0.40090755,0.04405346,0.2212838,0.9742139,-0.100079924,0.33388045,0.9372875,-0.2884127,0.33340457,0.8975854,0
-0.17382868,-0.33657002,-0.9254751,-0.833149,-0.26530278,-0.48525992,-0.1561166,-0.90260017,-0.40117395,0.040923446,0.21149424,0.97652215,-0.10043774,0.33417922,0.9371427,-0.29002482,0.33353433,0.89701754,0
-0.17251249,-0.33624017,-0.9258412,-0.8313143,-0.26932114,-0.4861919,-0.15264535,-0.90295106,-0.40171984,0.03849783,0.19948862,0.9791436,-0.10023149,0.33296278,0.9375977,-0.29089722,0.3322438,0.89721394,0
-0.17126094,-0.33763957,-0.9255643,-0.8289432,-0.27183765,-0.4888328,-0.14960267,-0.90217155,-0.40460545,0.03449453,0.18760876,0.98163795,-0.09935793,0.33024582,0.938651,-0.29021648,0.32666242,0.899481,0
-0.170606,-0.3367627,-0.9260046,-0.8287783,-0.2691883,-0.49057534,-0.14599957,-0.90150404,-0.40739974,0.032774106,0.1761979,0.983809,-0.09862871,0.32801646,0.9395092,-0.2893404,0.32395223,0.90074253,0
-0.17151514,-0.33487728,-0.9265202,-0.82896924,-0.26757953,-0.4911326,-0.144856,-0.90016735,-0.41074988,0.0368349,0.17373845,0.9841027,-0.097124755,0.32557434,0.9405148,-0.28724438,0.3228576,0.90180576,0
-0.17220128,-0.33221683,-0.92735034,-0.8296989,-0.26442835,-0.4916069,-0.1432748,-0.8989784,-0.41389635,0.04069851,0.16963233,0.9846667,-0.09538732,0.32314923,0.94152844,-0.28528434,0.32211173,0.9026942,0
-0.17375109,-0.32909146,-0.9281753,-0.82974744,-0.26262304,-0.4924919,-0.14247061,-0.8982109,-0.41583574,0.04735494,0.16687274,0.9848406,-0.09333965,0.31987077,0.94285226,-0.2833411,0.31988084,0.90409845,0
-0.17408238,-0.3258969,-0.92923975,-0.83072853,-0.259923,-0.49227038,-0.14237657,-0.8981039,-0.41609886,0.0494167,0.18042693,0.98234624,-0.094033115,0.31680667,0.94381744,-0.28297088,0.31768093,0.90498966,0
